disease,biospecimen_samples,taxid,lineage,parent_taxid,species,genus,family,order,class,phylum,clade,superkingdom,qualifier
autism,faeces,1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,Lactobacillus_sp.,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
autism,faeces,885,"[885, 2593640, 872, 194924, 213115, 3031449, 200940, 2, 131567, 1]",2593640,Desulfovibrio_sp.,desulfovibrio,desulfovibrionaceae,desulfovibrionales,desulfovibrionia,Thermodesulfobacteriota,,bacteria,elevated
multiple sclerosis,faeces,84112,"[84112, 84111, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",84111,Eggerthella_lenta,eggerthella,eggerthellaceae,eggerthellales,coriobacteriia,Actinomycetota,terrabacteria group,bacteria,elevated
multiple sclerosis,faeces,1308,"[1308, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1301,Streptococcus_thermophilus,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
multiple sclerosis,faeces,853,"[853, 216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216851,Faecalibacterium_prausnitzii,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
multiple sclerosis,faeces,649756,"[649756, 207244, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",207244,Anaerostipes_hadrus,anaerostipes,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
multiple sclerosis,faeces,39491,"[39491, 1766253, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1766253,Agathobacter_rectalis,agathobacter,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
multiple sclerosis,faeces,1506,"[1506, 2614128, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2614128,Clostridium_sp.,clostridium,clostridiaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
multiple sclerosis,faeces,46506,"[46506, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",816,Bacteroides_stercoris,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,reduced
multiple sclerosis,faeces,310298,"[310298, 909656, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",909656,Phocaeicola_coprocola,phocaeicola,bacteroidaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,reduced
multiple sclerosis,faeces,706562,"[706562, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_rogosae,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
multiple sclerosis,faeces,28052,"[28052, 28050, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",28050,Lachnospira_pectinoschiza,lachnospira,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
multiple sclerosis,faeces,841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
multiple sclerosis,faeces,40545,"[40545, 40544, 995019, 80840, 28216, 1224, 2, 131567, 1]",40544,Sutterella_wadsworthensis,sutterella,sutterellaceae,burkholderiales,betaproteobacteria,Pseudomonadota,,bacteria,reduced
multiple sclerosis,faeces,387090,"[387090, 909656, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",909656,Phocaeicola_coprophilus,phocaeicola,bacteroidaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,reduced
multiple sclerosis,faeces,41211,"[41211, 2632609, 1562, 2937910, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2632609,Desulfotomaculum_sp.,desulfotomaculum,desulfotomaculaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
multiple sclerosis,faeces,165179,"[165179, 2974251, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2974251,Segatella_copri,segatella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,reduced
multiple sclerosis,faeces,437897,"[437897, 158846, 1843491, 909929, 909932, 1239, 1783272, 2, 131567, 1]",158846,Megamonas_funiformis,megamonas,selenomonadaceae,selenomonadales,negativicutes,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,853,"[853, 216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216851,Faecalibacterium_prausnitzii,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,33038,"[33038, 2316020, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2316020,Mediterraneibacter_gnavus,mediterraneibacter,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
crohn's disease,faeces,218538,"[218538, 39948, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",39948,Dialister_invisus,dialister,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,1680,"[1680, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium_adolescentis,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,853,"[853, 216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216851,Faecalibacterium_prausnitzii,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,33038,"[33038, 2316020, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2316020,Mediterraneibacter_gnavus,mediterraneibacter,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
crohn's disease,faeces,1680,"[1680, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium_adolescentis,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
crohn's disease,subgingival plaque,33033,"[33033, 543311, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",543311,Parvimonas_micra,parvimonas,peptoniphilaceae,tissierellales,tissierellia,Bacillota,terrabacteria group,bacteria,elevated
crohn's disease,subgingival plaque,28132,"[28132, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",838,Prevotella_melaninogenica,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
crohn's disease,subgingival plaque,1261,"[1261, 1257, 186804, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1257,Peptostreptococcus_anaerobius,peptostreptococcus,peptostreptococcaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
crohn's disease,subgingival plaque,1280,"[1280, 1279, 90964, 1385, 91061, 1239, 1783272, 2, 131567, 1]",1279,Staphylococcus_aureus,staphylococcus,staphylococcaceae,bacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
crohn's disease,subgingival plaque,1328,"[1328, 671232, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",671232,Streptococcus_anginosus,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
crohn's disease,subgingival plaque,1309,"[1309, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1301,Streptococcus_mutans,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
crohn's disease,subgingival plaque,827,"[827, 194, 72294, 213849, 3031852, 29547, 2, 131567, 1]",194,Campylobacter_ureolyticus,campylobacter,campylobacteraceae,campylobacterales,epsilonproteobacteria,Campylobacterota,,bacteria,elevated
crohn's disease,subgingival plaque,824,"[824, 194, 72294, 213849, 3031852, 29547, 2, 131567, 1]",194,Campylobacter_gracilis,campylobacter,campylobacteraceae,campylobacterales,epsilonproteobacteria,Campylobacterota,,bacteria,elevated
crohn's disease,subgingival plaque,28132,"[28132, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",838,Prevotella_melaninogenica,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
crohn's disease,subgingival plaque,1280,"[1280, 1279, 90964, 1385, 91061, 1239, 1783272, 2, 131567, 1]",1279,Staphylococcus_aureus,staphylococcus,staphylococcaceae,bacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
crohn's disease,subgingival plaque,1328,"[1328, 671232, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",671232,Streptococcus_anginosus,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
crohn's disease,subgingival plaque,1338,"[1338, 671232, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",671232,Streptococcus_intermedius,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
crohn's disease,subgingival plaque,1309,"[1309, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1301,Streptococcus_mutans,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
ulcerative colitis,subgingival plaque,33033,"[33033, 543311, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",543311,Parvimonas_micra,parvimonas,peptoniphilaceae,tissierellales,tissierellia,Bacillota,terrabacteria group,bacteria,reduced
