taxid,lineage,parent_taxid,species,no rank,genus,family,order,class,phylum,clade,superkingdom,species group,subclass,superfamily,superorder,infraclass,kingdom,subphylum,strain,subspecies,suborder,subfamily,subkingdom,section,subgenus,tribe,species subgroup
1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,lactobacillus sp.,root,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
885,"[885, 2593640, 872, 194924, 213115, 3031449, 200940, 2, 131567, 1]",2593640,desulfovibrio sp.,root,desulfovibrio,desulfovibrionaceae,desulfovibrionales,desulfovibrionia,thermodesulfobacteriota,,bacteria,,,,,,,,,,,,,,,,
84112,"[84112, 84111, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",84111,eggerthella lenta,root,eggerthella,eggerthellaceae,eggerthellales,coriobacteriia,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1308,"[1308, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1301,streptococcus thermophilus,root,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
853,"[853, 216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216851,faecalibacterium prausnitzii,root,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
649756,"[649756, 207244, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",207244,anaerostipes hadrus,root,anaerostipes,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
39491,"[39491, 1766253, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1766253,agathobacter rectalis,root,agathobacter,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1506,"[1506, 2614128, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2614128,clostridium sp.,root,clostridium,clostridiaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
46506,"[46506, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",816,bacteroides stercoris,root,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
310298,"[310298, 909656, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",909656,phocaeicola coprocola,root,phocaeicola,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
706562,"[706562, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,lactobacillus rogosae,root,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
28052,"[28052, 28050, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",28050,lachnospira pectinoschiza,root,lachnospira,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,roseburia,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
40545,"[40545, 40544, 995019, 80840, 28216, 1224, 2, 131567, 1]",40544,sutterella wadsworthensis,root,sutterella,sutterellaceae,burkholderiales,betaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
387090,"[387090, 909656, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",909656,phocaeicola coprophilus,root,phocaeicola,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
41211,"[41211, 2632609, 1562, 2937910, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2632609,desulfotomaculum sp.,root,desulfotomaculum,desulfotomaculaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
165179,"[165179, 2974251, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2974251,segatella copri,root,segatella,prevotellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
437897,"[437897, 158846, 1843491, 909929, 909932, 1239, 1783272, 2, 131567, 1]",158846,megamonas funiformis,root,megamonas,selenomonadaceae,selenomonadales,negativicutes,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
853,"[853, 216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216851,faecalibacterium prausnitzii,root,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
33038,"[33038, 2316020, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2316020,[ruminococcus] gnavus,root,mediterraneibacter,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
218538,"[218538, 39948, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",39948,dialister invisus,root,dialister,veillonellaceae,veillonellales,negativicutes,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1680,"[1680, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,bifidobacterium adolescentis,root,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
853,"[853, 216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216851,faecalibacterium prausnitzii,root,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
33038,"[33038, 2316020, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2316020,[ruminococcus] gnavus,root,mediterraneibacter,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1680,"[1680, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,bifidobacterium adolescentis,root,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
33033,"[33033, 543311, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",543311,parvimonas micra,root,parvimonas,peptoniphilaceae,tissierellales,tissierellia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
28132,"[28132, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",838,prevotella melaninogenica,root,prevotella,prevotellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
1261,"[1261, 1257, 186804, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1257,peptostreptococcus anaerobius,root,peptostreptococcus,peptostreptococcaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1280,"[1280, 1279, 90964, 1385, 91061, 1239, 1783272, 2, 131567, 1]",1279,staphylococcus aureus,root,staphylococcus,staphylococcaceae,bacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1328,"[1328, 671232, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",671232,streptococcus anginosus,root,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,streptococcus anginosus group,,,,,,,,,,,,,,,
1309,"[1309, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1301,streptococcus mutans,root,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
827,"[827, 194, 72294, 213849, 3031852, 29547, 2, 131567, 1]",194,campylobacter ureolyticus,root,campylobacter,campylobacteraceae,campylobacterales,epsilonproteobacteria,campylobacterota,,bacteria,,,,,,,,,,,,,,,,
824,"[824, 194, 72294, 213849, 3031852, 29547, 2, 131567, 1]",194,campylobacter gracilis,root,campylobacter,campylobacteraceae,campylobacterales,epsilonproteobacteria,campylobacterota,,bacteria,,,,,,,,,,,,,,,,
28132,"[28132, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",838,prevotella melaninogenica,root,prevotella,prevotellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
1280,"[1280, 1279, 90964, 1385, 91061, 1239, 1783272, 2, 131567, 1]",1279,staphylococcus aureus,root,staphylococcus,staphylococcaceae,bacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1328,"[1328, 671232, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",671232,streptococcus anginosus,root,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,streptococcus anginosus group,,,,,,,,,,,,,,,
1338,"[1338, 671232, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",671232,streptococcus intermedius,root,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,streptococcus anginosus group,,,,,,,,,,,,,,,
1309,"[1309, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1301,streptococcus mutans,root,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
33033,"[33033, 543311, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",543311,parvimonas micra,root,parvimonas,peptoniphilaceae,tissierellales,tissierellia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1261,"[1261, 1257, 186804, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1257,peptostreptococcus anaerobius,root,peptostreptococcus,peptostreptococcaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1280,"[1280, 1279, 90964, 1385, 91061, 1239, 1783272, 2, 131567, 1]",1279,staphylococcus aureus,root,staphylococcus,staphylococcaceae,bacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1328,"[1328, 671232, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",671232,streptococcus anginosus,root,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,streptococcus anginosus group,,,,,,,,,,,,,,,
28037,"[28037, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1301,streptococcus mitis,root,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
41200,"[41200, 2608897, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",2608897,bifidobacterium sp.,root,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
33035,"[33035, 572511, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",572511,blautia producta,root,blautia,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
29465,"[29465, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,root,veillonella,veillonellaceae,veillonellales,negativicutes,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
29523,"[29523, 2646097, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2646097,bacteroides sp.,root,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
287,"[287, 136841, 286, 135621, 72274, 1236, 1224, 2, 131567, 1]",136841,pseudomonas aeruginosa,root,pseudomonas,pseudomonadaceae,pseudomonadales,gammaproteobacteria,pseudomonadota,,bacteria,pseudomonas aeruginosa group,,,,,,,,,,,,,,,
1686,"[1686, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,bifidobacterium catenulatum,root,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1686,"[1686, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,bifidobacterium catenulatum,root,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1686,"[1686, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,bifidobacterium catenulatum,root,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
216816,"[216816, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,bifidobacterium longum,root,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
216816,"[216816, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,bifidobacterium longum,root,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1689,"[1689, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,bifidobacterium dentium,root,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
35783,"[35783, 2608891, 1350, 81852, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608891,enterococcus sp.,root,enterococcus,enterococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
42895,"[42895, 2608935, 547, 543, 91347, 1236, 1224, 2, 131567, 1]",2608935,enterobacter sp.,root,enterobacter,enterobacteriaceae,enterobacterales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
41200,"[41200, 2608897, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",2608897,bifidobacterium sp.,root,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1506,"[1506, 2614128, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2614128,clostridium sp.,root,clostridium,clostridiaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,prevotella sp.,root,prevotella,prevotellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,roseburia,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
239935,"[239935, 239934, 1647988, 48461, 203494, 74201, 1783257, 2, 131567, 1]",239934,akkermansia muciniphila,root,akkermansia,akkermansiaceae,verrucomicrobiales,verrucomicrobiae,verrucomicrobiota,pvc group,bacteria,,,,,,,,,,,,,,,,
329854,"[329854, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",816,bacteroides intestinalis,root,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
208479,"[208479, 2719313, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2719313,enterocloster bolteae,root,enterocloster,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
154046,"[154046, 1649459, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1649459,hungatella hathewayi,root,hungatella,clostridiaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1547,"[1547, 3025755, 2810280, 526525, 526524, 1239, 1783272, 2, 131567, 1]",3025755,thomasclavelia ramosa,root,thomasclavelia,coprobacillaceae,erysipelotrichales,erysipelotrichia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1512,"[1512, 1506553, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1506553,[clostridium] symbiosum,root,lachnoclostridium,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
84112,"[84112, 84111, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",84111,eggerthella lenta,root,eggerthella,eggerthellaceae,eggerthellales,coriobacteriia,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
562,"[562, 561, 543, 91347, 1236, 1224, 2, 131567, 1]",561,escherichia coli,root,escherichia,enterobacteriaceae,enterobacterales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
239759,"[239759, 171550, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",171550,,root,alistipes,rikenellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
1869337,"[1869337, 2649774, 375288, 2005525, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2649774,parabacteroides sp.,root,parabacteroides,tannerellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
292632,"[292632, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,root,subdoligranulum,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
186803,"[186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186802,,root,,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
39491,"[39491, 1766253, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1766253,agathobacter rectalis,root,agathobacter,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
853,"[853, 216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216851,faecalibacterium prausnitzii,root,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
729,"[729, 724, 712, 135625, 1236, 1224, 2, 131567, 1]",724,haemophilus parainfluenzae,root,haemophilus,pasteurellaceae,pasteurellales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
166486,"[166486, 841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",841,roseburia intestinalis,root,roseburia,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
360807,"[360807, 841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",841,roseburia inulinivorans,root,roseburia,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
142586,"[142586, 2624479, 1730, 186806, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2624479,eubacterium sp.,root,eubacterium,eubacteriaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
128827,"[128827, 526525, 526524, 1239, 1783272, 2, 131567, 1]",526525,,root,,erysipelotrichaceae,erysipelotrichales,erysipelotrichia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
821,"[821, 909656, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",909656,phocaeicola vulgatus,root,phocaeicola,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,lactobacillus sp.,root,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,lactobacillus sp.,root,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,lactobacillus sp.,root,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,streptococcus sp.,root,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,streptococcus sp.,root,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1506,"[1506, 2614128, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2614128,clostridium sp.,root,clostridium,clostridiaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
142586,"[142586, 2624479, 1730, 186806, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2624479,eubacterium sp.,root,eubacterium,eubacteriaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,roseburia,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1506,"[1506, 2614128, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2614128,clostridium sp.,root,clostridium,clostridiaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
142586,"[142586, 2624479, 1730, 186806, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2624479,eubacterium sp.,root,eubacterium,eubacteriaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,roseburia,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
561,"[561, 543, 91347, 1236, 1224, 2, 131567, 1]",543,,root,escherichia,enterobacteriaceae,enterobacterales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,streptococcus sp.,root,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
29523,"[29523, 2646097, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2646097,bacteroides sp.,root,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
1869337,"[1869337, 2649774, 375288, 2005525, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2649774,parabacteroides sp.,root,parabacteroides,tannerellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,prevotella sp.,root,prevotella,prevotellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
1506,"[1506, 2614128, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2614128,clostridium sp.,root,clostridium,clostridiaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
28050,"[28050, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,lachnospira,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,roseburia,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
216851,"[216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,root,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
904,"[904, 909930, 1843488, 909932, 1239, 1783272, 2, 131567, 1]",909930,,root,acidaminococcus,acidaminococcaceae,acidaminococcales,negativicutes,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
29465,"[29465, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,root,veillonella,veillonellaceae,veillonellales,negativicutes,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
239934,"[239934, 1647988, 48461, 203494, 74201, 1783257, 2, 131567, 1]",1647988,,root,akkermansia,akkermansiaceae,verrucomicrobiales,verrucomicrobiae,verrucomicrobiota,pvc group,bacteria,,,,,,,,,,,,,,,,
544,"[544, 543, 91347, 1236, 1224, 2, 131567, 1]",543,,root,citrobacter,enterobacteriaceae,enterobacterales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
561,"[561, 543, 91347, 1236, 1224, 2, 131567, 1]",543,,root,escherichia,enterobacteriaceae,enterobacterales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
171,"[171, 170, 1643688, 203692, 203691, 2, 131567, 1]",170,,root,leptospira,leptospiraceae,leptospirales,spirochaetia,spirochaetota,,bacteria,,,,,,,,,,,,,,,,
53246,"[53246, 267888, 135622, 1236, 1224, 2, 131567, 1]",267888,,root,pseudoalteromonas,pseudoalteromonadaceae,alteromonadales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
79206,"[79206, 2937909, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2937909,,root,desulfosporosinus,desulfitobacteriaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1125,"[1125, 1890449, 1118, 1301283, 3028117, 1117, 1798711, 1783272, 2, 131567, 1]",1890449,,root,microcystis,microcystaceae,chroococcales,cyanophyceae,cyanobacteriota,terrabacteria group,bacteria,,oscillatoriophycideae,,,,,,,,,,,,,,
