taxid,lineage,parent_taxid,species,genus,family,order,class,phylum,clade,superkingdom
1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,lactobacillus sp.,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria
885,"[885, 2593640, 872, 194924, 213115, 3031449, 200940, 2, 131567, 1]",2593640,desulfovibrio sp.,desulfovibrio,desulfovibrionaceae,desulfovibrionales,desulfovibrionia,thermodesulfobacteriota,,bacteria
84112,"[84112, 84111, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",84111,eggerthella lenta,eggerthella,eggerthellaceae,eggerthellales,coriobacteriia,actinomycetota,terrabacteria group,bacteria
1308,"[1308, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1301,streptococcus thermophilus,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria
853,"[853, 216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216851,faecalibacterium prausnitzii,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
649756,"[649756, 207244, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",207244,anaerostipes hadrus,anaerostipes,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
39491,"[39491, 1766253, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1766253,agathobacter rectalis,agathobacter,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
1506,"[1506, 2614128, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2614128,clostridium sp.,clostridium,clostridiaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
46506,"[46506, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",816,bacteroides stercoris,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria
310298,"[310298, 909656, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",909656,phocaeicola coprocola,phocaeicola,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria
706562,"[706562, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,lactobacillus rogosae,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria
28052,"[28052, 28050, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",28050,lachnospira pectinoschiza,lachnospira,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,roseburia,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
40545,"[40545, 40544, 995019, 80840, 28216, 1224, 2, 131567, 1]",40544,sutterella wadsworthensis,sutterella,sutterellaceae,burkholderiales,betaproteobacteria,pseudomonadota,,bacteria
387090,"[387090, 909656, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",909656,phocaeicola coprophilus,phocaeicola,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria
41211,"[41211, 2632609, 1562, 2937910, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2632609,desulfotomaculum sp.,desulfotomaculum,desulfotomaculaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
165179,"[165179, 2974251, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2974251,segatella copri,segatella,prevotellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria
437897,"[437897, 158846, 1843491, 909929, 909932, 1239, 1783272, 2, 131567, 1]",158846,megamonas funiformis,megamonas,selenomonadaceae,selenomonadales,negativicutes,bacillota,terrabacteria group,bacteria
853,"[853, 216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216851,faecalibacterium prausnitzii,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
33038,"[33038, 2316020, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2316020,[ruminococcus] gnavus,mediterraneibacter,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
218538,"[218538, 39948, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",39948,dialister invisus,dialister,veillonellaceae,veillonellales,negativicutes,bacillota,terrabacteria group,bacteria
1680,"[1680, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,bifidobacterium adolescentis,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria
