"curie_id"	"label"	"mapped_curie"	"mapped_label"	"mapping_source_prefix"	"mapping_target_prefix"	"distance"
"MedDRA:10036802"	""	"EFO:0002509"	"progressive external ophthalmoplegia"	"EFO"	"EFO"	"1"
"MedDRA:10049891"	""	"EFO:1000865"	"choledocholithiasis"	"EFO"	"EFO"	"1"
"MedDRA:10047056"	""	"EFO:0004718"	"vascular dementia"	"EFO"	"EFO"	"1"
"MedDRA:10020764"	""	"EFO:1000974"	"hypersensitivity vasculitis"	"EFO"	"EFO"	"1"
"MedDRA:10001723"	""	"EFO:0005854"	"allergic rhinitis"	"EFO"	"EFO"	"1"
"MedDRA:10072760"	""	"EFO:0003764"	"transient ischemic attack"	"EFO"	"EFO"	"1"
"MedDRA:10081854"	""	"EFO:1000420"	"Ovarian Gonadoblastoma"	"EFO"	"EFO"	"1"
"MedDRA:10013946"	""	"EFO:0008533"	"dyspepsia"	"EFO"	"EFO"	"1"
"MedDRA:10043216"	""	"EFO:0005279"	"temporomandibular joint disorder"	"EFO"	"EFO"	"1"
"MedDRA:10062499"	""	"EFO:0009626"	"pyloric stenosis"	"EFO"	"EFO"	"1"
"MedDRA:10062499"	""	"EFO:1000947"	"gastric outlet obstruction"	"EFO"	"EFO"	"1"
"MedDRA:10051154"	""	"EFO:0010817"	"self-injurious ideation"	"EFO"	"EFO"	"1"
"MedDRA:10018627"	""	"EFO:0004274"	"gout"	"EFO"	"EFO"	"1"
"MedDRA:10045056"	""	"EFO:0007528"	"tuberculous empyema"	"EFO"	"EFO"	"1"
"MedDRA:10039073"	""	"EFO:0000685"	"rheumatoid arthritis"	"EFO"	"EFO"	"1"
"MedDRA:10023935"	""	"EFO:0007339"	"late congenital syphilis"	"EFO"	"EFO"	"1"
"MedDRA:10063564"	""	"EFO:1000856"	"central neurocytoma"	"EFO"	"EFO"	"1"
"MedDRA:10058493"	""	"EFO:0007135"	"adult-onset Still's disease"	"EFO"	"EFO"	"1"
"MedDRA:10008734"	""	"EFO:0000333"	"chondrosarcoma"	"EFO"	"EFO"	"1"
"MedDRA:10018298"	""	"EFO:0007286"	"glanders"	"EFO"	"EFO"	"1"
"MedDRA:10037688"	""	"EFO:0005224"	"Q fever"	"EFO"	"EFO"	"1"
"MedDRA:10056652"	""	"EFO:0007367"	"middle lobe syndrome"	"EFO"	"EFO"	"1"
"MedDRA:10009818"	""	"EFO:0002610"	"cocaine dependence"	"EFO"	"EFO"	"1"
"MedDRA:10037701"	""	"EFO:0004682"	"QT interval"	"EFO"	"EFO"	"1"
"MedDRA:10041676"	""	"EFO:0005649"	"spondylolysis"	"EFO"	"EFO"	"1"
"MedDRA:10000919"	""	"EFO:0008583"	"acute myocardial infarction"	"EFO"	"EFO"	"1"
"MedDRA:10001540"	""	"EFO:1000903"	"drug-induced akathisia"	"EFO"	"EFO"	"1"
"MedDRA:10055374"	""	"EFO:1001801"	"intracranial subdural hematoma"	"EFO"	"EFO"	"1"
"MedDRA:10006501"	""	"EFO:0007185"	"brucellosis"	"EFO"	"EFO"	"1"
"MedDRA:10000496"	""	"EFO:0003894"	"acne"	"EFO"	"EFO"	"1"
"MedDRA:10048736"	""	"EFO:1001398"	"Pneumocephalus"	"EFO"	"EFO"	"1"
"MedDRA:10066665"	""	"EFO:0008998"	"acute synovitis"	"EFO"	"EFO"	"1"
"MedDRA:10022764"	""	"EFO:1000992"	"intracranial hypertension"	"EFO"	"EFO"	"1"
"MedDRA:10021245"	""	"EFO:0007160"	"autoimmune thrombocytopenic purpura"	"EFO"	"EFO"	"1"
"MedDRA:10063573"	""	"EFO:1001810"	"mercury poisoning"	"EFO"	"EFO"	"1"
"MedDRA:10040500"	""	"EFO:1000785"	"Sezary's disease"	"EFO"	"EFO"	"1"
"MedDRA:10042044"	""	"EFO:0007498"	"Stiff-Person syndrome"	"EFO"	"EFO"	"1"
"MedDRA:10038012"	""	"EFO:1001432"	"Tachycardia, Reciprocating"	"EFO"	"EFO"	"1"
"MedDRA:10041535"	""	"EFO:0003105"	"spina bifida"	"EFO"	"EFO"	"1"
"MedDRA:10049032"	""	"EFO:0009507"	"knee injury"	"EFO"	"EFO"	"1"
"MedDRA:10038907"	""	"EFO:1001157"	"retinal vein occlusion"	"EFO"	"EFO"	"1"
"MedDRA:10063384"	""	"EFO:1000254"	"Fibroadenoma"	"EFO"	"EFO"	"1"
"MedDRA:10047505"	""	"EFO:0005045"	"visceral Leishmaniasis"	"EFO"	"EFO"	"1"
"MedDRA:10045103"	""	"EFO:0007529"	"tuberculous peritonitis"	"EFO"	"EFO"	"1"
"MedDRA:10028294"	""	"EFO:0009846"	"muscle cramp"	"EFO"	"EFO"	"1"
"MedDRA:10034685"	""	"EFO:0008588"	"peritonitis"	"EFO"	"EFO"	"1"
"MedDRA:10042900"	""	"EFO:1001206"	"syphilitic aortitis"	"EFO"	"EFO"	"1"
"MedDRA:10039054"	""	"EFO:1001160"	"rheumatic fever"	"EFO"	"EFO"	"1"
"MedDRA:10014472"	""	"EFO:0004711"	"elephantiasis"	"EFO"	"EFO"	"1"
"MedDRA:10006101"	""	"EFO:0009839"	"bradypnea"	"EFO"	"EFO"	"1"
"MedDRA:10019053"	""	"EFO:1000956"	"hairy cell leukemia"	"EFO"	"EFO"	"1"
"MedDRA:10064056"	""	"EFO:0007135"	"adult-onset Still's disease"	"EFO"	"EFO"	"1"
"MedDRA:10005098"	""	"EFO:0007174"	"blastomycosis"	"EFO"	"EFO"	"1"
"MedDRA:10007821"	""	"EFO:0007196"	"Cauda equina syndrome"	"EFO"	"EFO"	"1"
"MedDRA:10027632"	""	"EFO:0007368"	"miliary tuberculosis"	"EFO"	"EFO"	"1"
"MedDRA:10001727"	""	"EFO:0005854"	"allergic rhinitis"	"EFO"	"EFO"	"1"
"MedDRA:10033828"	""	"EFO:1001102"	"peroneal nerve paralysis"	"EFO"	"EFO"	"1"
"MedDRA:10038923"	""	"EFO:0003839"	"retinopathy"	"EFO"	"EFO"	"1"
"MedDRA:10020718"	""	"EFO:0000536"	"hyperplasia"	"EFO"	"EFO"	"1"
"MedDRA:10034158"	""	"EFO:1001926"	"pathological gambling"	"EFO"	"EFO"	"1"
"MedDRA:10037114"	""	"EFO:1001131"	"pseudobulbar palsy"	"EFO"	"EFO"	"1"
"MedDRA:10047661"	""	"EFO:0008625"	"vitreous prolapse"	"EFO"	"EFO"	"1"
"MedDRA:10080898"	""	"EFO:0009490"	"nervous system injury"	"EFO"	"EFO"	"1"
"MedDRA:10068240"	""	"EFO:0008518"	"polymyalgia rheumatica"	"EFO"	"EFO"	"1"
"MedDRA:10023455"	""	"EFO:1001353"	"Klebsiella Infections"	"EFO"	"EFO"	"1"
"MedDRA:10036058"	""	"EFO:0005804"	"polycythemia"	"EFO"	"EFO"	"1"
"MedDRA:10044240"	""	"EFO:0009191"	"Toxic Nodular Goiter"	"EFO"	"EFO"	"1"
"MedDRA:10045543"	""	"EFO:0003761"	"unipolar depression"	"EFO"	"EFO"	"1"
"MedDRA:10027143"	""	"EFO:1002014"	"melancholia"	"EFO"	"EFO"	"1"
"MedDRA:10049567"	""	"EFO:0007371"	"Miller Fisher syndrome"	"EFO"	"EFO"	"1"
"MedDRA:10023076"	""	"EFO:0007232"	"cystoisosporiasis"	"EFO"	"EFO"	"1"
"MedDRA:10036102"	""	"EFO:0003063"	"polymyositis"	"EFO"	"EFO"	"1"
"MedDRA:10080344"	""	"EFO:1001807"	"malacoplakia"	"EFO"	"EFO"	"1"
"MedDRA:10080130"	""	"EFO:1001434"	"Tendinopathy"	"EFO"	"EFO"	"1"
"MedDRA:10013741"	""	"EFO:1000902"	"drug psychosis"	"EFO"	"EFO"	"1"
"MedDRA:10047441"	""	"EFO:1000776"	"viral exanthem"	"EFO"	"EFO"	"1"
"MedDRA:10084711"	""	"EFO:1000069"	"Adamantinomatous Craniopharyngioma"	"EFO"	"EFO"	"1"
"MedDRA:10015586"	""	"EFO:1001320"	"Exanthema Subitum"	"EFO"	"EFO"	"1"
"MedDRA:10027287"	""	"EFO:1001369"	"Meningomyelocele"	"EFO"	"EFO"	"1"
"MedDRA:10035618"	""	"EFO:1001825"	"pleurisy"	"EFO"	"EFO"	"1"
"MedDRA:10016880"	""	"EFO:0001070"	"folate deficiency"	"EFO"	"EFO"	"1"
"MedDRA:10016767"	""	"EFO:0009669"	"flatulence"	"EFO"	"EFO"	"1"
"MedDRA:10011719"	""	"EFO:0005758"	"cycloplegia"	"EFO"	"EFO"	"1"
"MedDRA:10021067"	""	"EFO:0001380"	"hypopituitarism"	"EFO"	"EFO"	"1"
"MedDRA:10005891"	""	"EFO:0004339"	"body height"	"EFO"	"EFO"	"1"
"MedDRA:10061594"	""	"EFO:0009380"	"facial neuralgia"	"EFO"	"EFO"	"1"
"MedDRA:10013916"	""	"EFO:1000904"	"drug-Induced dyskinesia"	"EFO"	"EFO"	"1"
"MedDRA:10025226"	""	"EFO:0007351"	"lymphangitis"	"EFO"	"EFO"	"1"
"MedDRA:10036601"	""	"EFO:0009005"	"premature menopause"	"EFO"	"EFO"	"1"
"MedDRA:10055624"	""	"EFO:0004527"	"mean corpuscular hemoglobin"	"EFO"	"EFO"	"1"
"MedDRA:10003014"	""	"EFO:0007149"	"appendicitis"	"EFO"	"EFO"	"1"
"MedDRA:10003553"	""	"EFO:0000270"	"asthma"	"EFO"	"EFO"	"1"
"MedDRA:10043693"	""	"EFO:1000827"	"atrophy of thyroid"	"EFO"	"EFO"	"1"
"MedDRA:10034254"	""	"EFO:1001388"	"Pelvic Inflammatory Disease"	"EFO"	"EFO"	"1"
"MedDRA:10006024"	""	"EFO:1001275"	"Bordetella Infections"	"EFO"	"EFO"	"1"
"MedDRA:10028596"	""	"EFO:0000612"	"myocardial infarction"	"EFO"	"EFO"	"1"
"MedDRA:10028963"	""	"EFO:1001059"	"neonatal myasthenia gravis"	"EFO"	"EFO"	"1"
"MedDRA:10013912"	""	"EFO:1000688"	"dyshidrosis"	"EFO"	"EFO"	"1"
"MedDRA:10019299"	""	"EFO:0004326"	"heart rate"	"EFO"	"EFO"	"1"
"MedDRA:10040798"	""	"EFO:1001183"	"skin appendage carcinoma"	"EFO"	"EFO"	"1"
"MedDRA:10037994"	""	"EFO:0007460"	"reactive arthritis"	"EFO"	"EFO"	"1"
"MedDRA:10015218"	""	"EFO:1000694"	"erythema multiforme"	"EFO"	"EFO"	"1"
"MedDRA:10046814"	""	"EFO:1001864"	"uterine prolapse"	"EFO"	"EFO"	"1"
"MedDRA:10042320"	""	"EFO:0000713"	"subarachnoid hemorrhage"	"EFO"	"EFO"	"1"
"MedDRA:10052787"	""	"EFO:0005296"	"migraine without aura"	"EFO"	"EFO"	"1"
"MedDRA:10074979"	""	"EFO:0006888"	"vascular malformation"	"EFO"	"EFO"	"1"
"MedDRA:10057407"	""	"EFO:1000509"	"Retinal Neoplasm"	"EFO"	"EFO"	"1"
"MedDRA:10053638"	""	"EFO:0000584"	"infectious meningitis"	"EFO"	"EFO"	"1"
"MedDRA:10062129"	""	"EFO:0003871"	"tongue neoplasm"	"EFO"	"EFO"	"1"
"MedDRA:10051938"	""	"EFO:0006460"	"ovarian adenocarcinoma"	"EFO"	"EFO"	"1"
"MedDRA:10009266"	""	"EFO:0003959"	"cleft lip"	"EFO"	"EFO"	"1"
"MedDRA:10025028"	""	"EFO:1001362"	"Lung Abscess"	"EFO"	"EFO"	"1"
"MedDRA:10062788"	""	"EFO:1000841"	"blue nevus"	"EFO"	"EFO"	"1"
"MedDRA:10021114"	""	"EFO:0004705"	"hypothyroidism"	"EFO"	"EFO"	"1"
"MedDRA:10000918"	""	"EFO:0008583"	"acute myocardial infarction"	"EFO"	"EFO"	"1"
"MedDRA:10053242"	""	"EFO:1000952"	"glycogen storage disease VIII"	"EFO"	"EFO"	"1"
"MedDRA:10013859"	""	"EFO:0004607"	"duodenal ulcer"	"EFO"	"EFO"	"1"
"MedDRA:10068785"	""	"EFO:1001499"	"histiocytic medullary reticulosis"	"EFO"	"EFO"	"1"
"MedDRA:10039124"	""	"EFO:0005583"	"rickets"	"EFO"	"EFO"	"1"
"MedDRA:10041534"	""	"EFO:0003105"	"spina bifida"	"EFO"	"EFO"	"1"
"MedDRA:10014587"	""	"EFO:0007242"	"Eastern equine encephalitis"	"EFO"	"EFO"	"1"
"MedDRA:10025169"	""	"EFO:0008510"	"Lyme disease"	"EFO"	"EFO"	"1"
"MedDRA:10013836"	""	"EFO:0004607"	"duodenal ulcer"	"EFO"	"EFO"	"1"
"MedDRA:10017810"	""	"EFO:1000946"	"gastric mucosal hypertrophy"	"EFO"	"EFO"	"1"
"MedDRA:10058328"	""	"EFO:1001221"	"twin-to-twin transfusion syndrome"	"EFO"	"EFO"	"1"
"MedDRA:10020716"	""	"EFO:1000973"	"hyperpituitarism"	"EFO"	"EFO"	"1"
"MedDRA:10007178"	""	"EFO:0007191"	"cannabis dependence"	"EFO"	"EFO"	"1"
"MedDRA:10084813"	""	"EFO:1000447"	"Papillary Craniopharyngioma"	"EFO"	"EFO"	"1"
"MedDRA:10008643"	""	"EFO:1000676"	"cholesteatoma of attic"	"EFO"	"EFO"	"1"
"MedDRA:10051168"	""	"EFO:0009188"	"Red cell distribution width"	"EFO"	"EFO"	"1"
"MedDRA:10049058"	""	"EFO:0007297"	"HELLP syndrome"	"EFO"	"EFO"	"1"
"MedDRA:10047642"	""	"EFO:0004208"	"Vitiligo"	"EFO"	"EFO"	"1"
