"curie_id"	"label"	"mapped_curie"	"mapped_label"	"mapping_source_prefix"	"mapping_target_prefix"	"distance"
"MedDRA:10034743"	""	"HP:0001761"	"Pes cavus"	"EFO,HP"	"HP"	"1"
"MedDRA:10034016"	""	"HP:0001818"	"Paronychia"	"HP"	"HP"	"1"
"MedDRA:10017822"	""	"HP:0002592"	"Gastric ulcer"	"HP"	"HP"	"1"
"MedDRA:10027546"	""	"HP:0002983"	"Micromelia"	"HP,MONDO"	"HP"	"1"
"MedDRA:10065453"	""	"HP:0011986"	"Ectopic ossification"	"HP"	"HP"	"1"
"MedDRA:10001760"	""	"HP:0001596"	"Alopecia"	"HP,MONDO"	"HP"	"1"
"MedDRA:10036064"	""	"HP:0001161"	"Hand polydactyly"	"HP"	"HP"	"1"
"MedDRA:10002512"	""	"HP:0000970"	"Anhidrosis"	"HP,MONDO"	"HP"	"1"
"MedDRA:10020642"	""	"HP:0000975"	"Hyperhidrosis"	"EFO,HP,MONDO"	"HP"	"1"
"MedDRA:10030136"	""	"HP:0002571"	"Achalasia"	"EFO,HP"	"HP"	"1"
"MedDRA:10043106"	""	"HP:0001762"	"Talipes equinovarus"	"EFO,HP,MONDO"	"HP"	"1"
"MedDRA:10028813"	""	"HP:0002018"	"Nausea"	"COVOC,GENEPIO,HP,CIDO,EFO"	"HP"	"1"
"MedDRA:10050658"	""	"HP:0001820"	"Leukonychia"	"HP"	"HP"	"1"
"MedDRA:10013836"	""	"HP:0002588"	"Duodenal ulcer"	"HP"	"HP"	"1"
"MedDRA:10002120"	""	"HP:0002023"	"Anal atresia"	"HP,MONDO"	"HP"	"1"
"MedDRA:10040954"	""	"HP:0100678"	"Premature skin wrinkling"	"HP"	"HP"	"1"
"MedDRA:10046735"	""	"HP:0001025"	"Urticaria"	"COVOC,HP,MONDO"	"HP"	"1"
"MedDRA:10013950"	""	"HP:0002015"	"Dysphagia"	"HP,MONDO,EFO,GENEPIO"	"HP"	"1"
"MedDRA:10067193"	""	"HP:0001052"	"Nevus flammeus"	"HP"	"HP"	"1"
"MedDRA:10048281"	""	"HP:0002044"	"Zollinger-Ellison syndrome"	"HP"	"HP"	"1"
"MedDRA:10021013"	""	"HP:0000966"	"Hypohidrosis"	"HP,MONDO"	"HP"	"1"
"MedDRA:10049216"	""	"HP:0010497"	"Sirenomelia"	"HP"	"HP"	"1"
"MedDRA:10030337"	""	"HP:0001806"	"Onycholysis"	"HP"	"HP"	"1"
"MedDRA:10017853"	""	"HP:0005263"	"Gastritis"	"HP"	"HP"	"1"
"MedDRA:10016434"	""	"HP:0100541"	"Femoral hernia"	"ONTONEO,HP"	"HP"	"1"
"MedDRA:10027055"	""	"HP:0002245"	"Meckel diverticulum"	"HP"	"HP"	"1"
"MedDRA:10039521"	""	"HP:0100809"	"Scalp tenderness"	"HP"	"HP"	"1"
"MedDRA:10051097"	""	"HP:0000143"	"Rectovaginal fistula"	"HP"	"HP"	"1"
"MedDRA:10009993"	""	"HP:0002253"	"Colonic diverticula"	"EFO,HP"	"HP"	"1"
"MedDRA:10022016"	""	"HP:0000023"	"Inguinal hernia"	"EFO,ONTONEO,HP,MONDO"	"HP"	"1"
"MedDRA:10050094"	""	"HP:0100867"	"Duodenal stenosis"	"HP"	"HP"	"1"
"MedDRA:10037798"	""	"HP:0002974"	"Radioulnar synostosis"	"HP"	"HP"	"1"
"MedDRA:10020028"	""	"HP:0002036"	"Hiatus hernia"	"ONTONEO,HP,EFO"	"HP"	"1"
"MedDRA:10040799"	""	"HP:0004334"	"Dermal atrophy"	"HP"	"HP"	"1"
"MedDRA:10028698"	""	"HP:0008404"	"Nail dystrophy"	"EFO,HP"	"HP"	"1"
"MedDRA:10006326"	""	"HP:0100812"	"Halitosis"	"HP"	"HP"	"1"
"MedDRA:10027110"	""	"HP:0002251"	"Aganglionic megacolon"	"EFO,HP"	"HP"	"1"
"MedDRA:10030216"	""	"HP:0100633"	"Esophagitis"	"HP,EFO"	"HP"	"1"
"MedDRA:10037844"	""	"HP:0000988"	"Skin rash"	"COVOC,HP,MONDO"	"HP"	"1"
"MedDRA:10056981"	""	"HP:0005227"	"Adenomatous colonic polyposis"	"HP"	"HP"	"1"
"MedDRA:10034923"	""	"HP:0009829"	"Phocomelia"	"HP"	"HP"	"1"
"MedDRA:10058204"	""	"HP:0007514"	"Edema of the dorsum of hands"	"HP"	"HP"	"1"
"MedDRA:10013184"	""	"HP:0003994"	"Dislocated wrist"	"HP"	"HP"	"1"
"MedDRA:10022863"	""	"HP:0002576"	"Intussusception"	"EFO,HP"	"HP"	"1"
"MedDRA:10010821"	""	"HP:0009473"	"Joint contracture of the hand"	"HP,MONDO"	"HP"	"1"
"MedDRA:10037621"	""	"HP:0002021"	"Pyloric stenosis"	"HP"	"HP"	"1"
"MedDRA:10037578"	""	"HP:0200039"	"Pustule"	"HP"	"HP"	"1"
"MedDRA:10000496"	""	"HP:0001061"	"Acne"	"HP"	"HP"	"1"
"MedDRA:10024604"	""	"HP:0100578"	"Lipoatrophy"	"HP,EFO"	"HP"	"1"
"MedDRA:10050185"	""	"HP:0100847"	"Palmoplantar pustulosis"	"HP"	"HP"	"1"
"MedDRA:10047700"	""	"HP:0002013"	"Vomiting"	"COVOC,GENEPIO,HP,CIDO,MONDO,EFO"	"HP"	"1"
"MedDRA:10040936"	""	"HP:0001072"	"Thickened skin"	"EFO,HP,MONDO"	"HP"	"1"
"MedDRA:10022647"	""	"HP:0100819"	"Intestinal fistula"	"HP"	"HP"	"1"
"MedDRA:10023480"	""	"HP:0002857"	"Genu valgum"	"EFO,HP"	"HP"	"1"
"MedDRA:10023330"	""	"HP:0010562"	"Keloids"	"HP"	"HP"	"1"
"MedDRA:10038077"	""	"HP:0002035"	"Rectal prolapse"	"HP,MONDO,EFO"	"HP"	"1"
"MedDRA:10016680"	""	"HP:0100759"	"Clubbing of fingers"	"EFO,HP"	"HP"	"1"
"MedDRA:10024612"	""	"HP:0012032"	"Lipoma"	"HP"	"HP"	"1"
"MedDRA:10020649"	""	"HP:0000962"	"Hyperkeratosis"	"HP,MONDO"	"HP"	"1"
"MedDRA:10002156"	""	"HP:0010447"	"Anal fistula"	"HP"	"HP"	"1"
"MedDRA:10013533"	""	"HP:0002256"	"Small bowel diverticula"	"HP"	"HP"	"1"
"MedDRA:10040925"	""	"HP:0001065"	"Striae distensae"	"EFO,HP"	"HP"	"1"
"MedDRA:10056091"	""	"HP:0002040"	"Esophageal varix"	"HP"	"HP"	"1"
"MedDRA:10018194"	""	"HP:0002816"	"Genu recurvatum"	"HP"	"HP"	"1"
"MedDRA:10013812"	""	"HP:0002247"	"Duodenal atresia"	"HP"	"HP"	"1"
"MedDRA:10033733"	""	"HP:0200034"	"Papule"	"HP"	"HP"	"1"
"MedDRA:10001926"	""	"HP:0009827"	"Amelia"	"HP,MONDO"	"HP"	"1"
"MedDRA:10021328"	""	"HP:0002595"	"Ileus"	"HP"	"HP"	"1"
"MedDRA:10048222"	""	"HP:0000958"	"Dry skin"	"EFO,HP"	"HP"	"1"
"MedDRA:10002176"	""	"HP:0002025"	"Anal stenosis"	"HP"	"HP"	"1"
"MedDRA:10048017"	""	"HP:0002224"	"Woolly hair"	"HP,MONDO"	"HP"	"1"
"MedDRA:10040840"	""	"HP:0200041"	"Skin erosion"	"HP"	"HP"	"1"
"MedDRA:10034754"	""	"HP:0000967"	"Petechiae"	"HP,MONDO"	"HP"	"1"
"MedDRA:10067628"	""	"HP:0003691"	"Scapular winging"	"HP"	"HP"	"1"
"MedDRA:10055899"	""	"HP:0001048"	"Cavernous hemangioma"	"HP"	"HP"	"1"
"MedDRA:10021126"	""	"HP:0008070"	"Sparse hair"	"HP,MONDO"	"HP"	"1"
"MedDRA:10010455"	""	"HP:0000912"	"Sprengel anomaly"	"HP"	"HP"	"1"
"MedDRA:10066242"	""	"HP:0001838"	"Rocker bottom foot"	"EFO,HP"	"HP"	"1"
"MedDRA:10054882"	""	"HP:0002990"	"Fibular aplasia"	"HP"	"HP"	"1"
"MedDRA:10018046"	""	"HP:0001543"	"Gastroschisis"	"HP"	"HP"	"1"
"MedDRA:10025386"	""	"HP:0004099"	"Macrodactyly"	"HP"	"HP"	"1"
"MedDRA:10021198"	""	"HP:0008064"	"Ichthyosis"	"HP"	"HP"	"1"
"MedDRA:10044310"	""	"HP:0002575"	"Tracheoesophageal fistula"	"EFO,HP"	"HP"	"1"
"MedDRA:10040851"	""	"HP:0001030"	"Fragile skin"	"EFO,HP"	"HP"	"1"
"MedDRA:10064024"	""	"HP:0002566"	"Intestinal malrotation"	"EFO,HP"	"HP"	"1"
"MedDRA:10028702"	""	"HP:0001803"	"Nail pits"	"HP"	"HP"	"1"
"MedDRA:10040943"	""	"HP:0200042"	"Skin ulcer"	"EFO,HP,MONDO"	"HP"	"1"
"MedDRA:10000081"	""	"HP:0002027"	"Abdominal pain"	"COVOC,GENEPIO,HP,CIDO,MONDO,EFO"	"HP"	"1"
"MedDRA:10002963"	""	"HP:0001057"	"Aplasia cutis congenita"	"HP"	"HP"	"1"
"MedDRA:10058330"	""	"HP:0100644"	"Melanonychia"	"HP"	"HP"	"1"
"MedDRA:10030309"	""	"HP:0001539"	"Omphalocele"	"HP"	"HP"	"1"
"MedDRA:10029279"	""	"HP:0000011"	"Neurogenic bladder"	"EFO"	"HP"	"1"
"MedDRA:10057041"	""	"HP:0001029"	"Poikiloderma"	"HP"	"HP"	"1"
"MedDRA:10015145"	""	"HP:0001055"	"Erysipelas"	"HP"	"HP"	"1"
