"curie_id"	"label"	"mapped_curie"	"mapped_label"	"mapping_source_prefix"	"mapping_target_prefix"	"distance"
"MedDRA:10077306"	""	"Orphanet:140450"	"Hereditary motor and sensory neuropathy"	"EFO"	"Orphanet"	"1"
"MedDRA:10036172"	""	"Orphanet:2940"	"Porencephaly"	"EFO,Orphanet"	"Orphanet"	"1"
"MedDRA:10058513"	""	"Orphanet:419"	"Hyperprolinemia type 1"	"EFO,Orphanet"	"Orphanet"	"1"
"MedDRA:10036183"	""	"Orphanet:101330"	"Porphyria cutanea tarda"	"EFO,Orphanet"	"Orphanet"	"1"
"MedDRA:10036297"	""	"Orphanet:91355"	"Sheehan syndrome"	"Orphanet"	"Orphanet"	"1"
"MedDRA:10071757"	""	"Orphanet:675"	"Annular pancreas"	"EFO,Orphanet"	"Orphanet"	"1"
"MedDRA:10052450"	""	"Orphanet:664"	"Ornithine transcarbamylase deficiency"	"Orphanet"	"Orphanet"	"1"
"MedDRA:10051713"	""	"Orphanet:263425"	"Nevus of Ota"	"Orphanet"	"Orphanet"	"1"
"MedDRA:10011005"	""	"Orphanet:34533"	"Corneal dystrophy"	"EFO,Orphanet"	"Orphanet"	"1"
"MedDRA:10027166"	""	"Orphanet:2483"	"Melkersson-Rosenthal syndrome"	"Orphanet"	"Orphanet"	"1"
"MedDRA:10071434"	""	"Orphanet:79241"	"Biotinidase deficiency"	"EFO,Orphanet"	"Orphanet"	"1"
"MedDRA:10061630"	""	"Orphanet:181412"	"Adrenogenital syndrome"	"EFO,Orphanet"	"Orphanet"	"1"
"MedDRA:10057235"	""	"Orphanet:98253"	"Postinfectious encephalitis"	"Orphanet"	"Orphanet"	"1"
"MedDRA:10062989"	""	"Orphanet:124"	"Blackfan-Diamond anemia"	"EFO,Orphanet"	"Orphanet"	"1"
"MedDRA:10053589"	""	"Orphanet:98365"	"Hereditary stomatocytosis"	"EFO"	"Orphanet"	"1"
"MedDRA:10063435"	""	"Orphanet:93616"	"Hemoglobin H disease"	"EFO,Orphanet"	"Orphanet"	"1"
"MedDRA:10006500"	""	"Orphanet:1304"	"Brucellosis"	"Orphanet"	"Orphanet"	"1"
"MedDRA:10035718"	""	"Orphanet:549"	"Legionnaires disease"	"Orphanet"	"Orphanet"	"1"
